,hotel,urls,reviewer,review_overall,title,text,ReviewerValue,ReviewerLocation,ReviewerService,ReviewerRooms,ReviewerCleanliness,ReviewerSleepQuality,Date of Stay,Trip Type,Contributions,Helpful Vote
261,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or260-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,Denis H ,5.0,"""Cupola of Love"" - an apt description","What an amazing experience. I reserved the rooftop cupola to propose to my (now) fiancé and visited the rooftop restaurant a handful of times during my trip to Chicago. The reservationist, Manny Aganon, was incredibly professional and a joy to work with throughout the planning process and during the proposal at the cupola. The staff at the LondonHouse were incredible as well. The entire engagement was like a dream and I cannot be thankful enough for my time here. If you are in Chicago, check out the rooftop restaurant! Just be sure to make reservations and bring a positive attitude. It is amazing what being a decent human and treating staff with respect can get you. If you're reading this, thanks again Manny from both myself and Rasema!!",,,5.0,5.0,5.0,,April 2021,,28,2.0
262,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or260-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,alvarez1017 ,5.0,Work trip,The hotel was very nice and the staff wa excellent. The restaurant below  had great dishes and customer service. I stayed one night and it was amazing. I will be returning very soon. My entire team joine me,5.0,5.0,5.0,5.0,5.0,5.0,March 2021,Traveled on business,1,
263,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or260-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,Covidfrontline ,5.0,Highly recommended,This was our first trip to the London House and I can’t say enough about it. From the cleanliness to the friendliness of staff - this made our vacation smooth and we felt comfortable during our stay. This was a much needed vacation for me being a healthcare worker and family. Thank You again!,5.0,5.0,5.0,5.0,5.0,5.0,April 2021,,1,
264,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or260-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,C. H. ,5.0,What a find...,"Unique, classy and well-done.   Have stayed here several times and it is always a pleasure.   Love the mix of 1920's historic skyscraper and new modern glass edition.  Within walking distance of just about everything downtown has to offer.   Very nice  complimentary bath products are another plus.  There is almost nothing to dislike about this property.   One tip... if driving download a parking app on your cellphone and use it to find the best priced place to park (but still in close proximity), there will be many good options available.",5.0,,5.0,5.0,,,June 2020,,2,
265,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or265-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,Nahuel R ,5.0,Engagement,From the very beginning Manny was kind and helpful. He helped me coordinate a beautiful moment for my now fiancé and I. It was exactly what I wanted with great organization and attention to detail.  Thank you for helping create an amazing memories and the little details along the way.  Extremely recommended!,,,,,,,April 2021,Traveled as a couple,2,
266,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or265-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,joylhowze ,5.0,Love it here!,"I always enjoy my stay. Great rooms and beds. The spa is great, and there are plenty of restaurants and things to do near by. Staff always accommodating. Elevators can be busy because they are usually booked up, because it’s great!",5.0,5.0,5.0,5.0,5.0,5.0,March 2021,,1,
267,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or265-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,NathanW ,5.0,"Amazing views, amazing service!","We stayed for only one night. Arriving in Chicago early in the morning on a Monday and leaving in the early afternoon on a Tuesday makes it tough to store a vehicle and luggage. However, at London House we were able to store our vehicle and luggage before we even checked in! Free to walk around the city and go to a museum unburdened. The day we checked out we had plans during the day and early afternoon. We were able to leave our car and luggage after checking out; again able to walk the city unburdened.The views are great, the beds are comfortable, and the Nespresso machine is an awesome amenity.Great service and a great stay. We will be back.",,,,,,,March 2021,Traveled as a couple,1,
268,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or265-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,gabby810 ,4.0,Better elevator system,Property is located in a very perfect location.  everything is nearby you can walk to everything!!  the elevators though that’s a different story ..they don’t work .. very slow took about 20 minutes to get down from the seventh floor.. the front desk staff is not knowledgeable of a lot of things. not that friendly either.  other than that everything else was great.,5.0,5.0,4.0,5.0,5.0,5.0,March 2021,,1,1.0
269,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or265-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,mmontgomery1908 ,5.0,Awesome Stay,We had an excellent experience at the London House. My husband and I spent a weekend here for a staycation in one of the Villa rooms and we had so much fun! The views were amazing and the room so comfortable. We loved it!,5.0,5.0,5.0,5.0,5.0,5.0,March 2021,,1,
270,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or270-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,dansalas2016 ,5.0,Daniel Salas,"The hotel was amazing and 10/10 would recommend to any future people hesitant if the decision to book here. The view is amazing and so is the staff, the area is so close to so many businesses and restaurants it almost made it impossible to save money",5.0,5.0,5.0,5.0,5.0,5.0,March 2021,,1,
271,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or270-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,Craig S ,5.0,Needed extra room and LondonHouse was ideal,"Out of town family came to visit and I could not accommodate in my home, so I reserved a room for 2 nights at LondonHouse.  The check-in process was smooth and easy (thanks Ken!) and the room and overall hospitality was stellar.   my guests stayed in the historic part of the building overlooking the Chicago River and the surprise dying of the water for St. Patrick's Day.",5.0,,5.0,,5.0,,March 2021,,1,
272,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or270-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,Albert ,5.0,London house Proposal,Amazing proposal experience! Manny was the best! So accommodating and an amazing experience with an amazing view and great food! This will be a moment in my life time that I will never forget and will stay with us!,,,,,,,March 2021,,1,
273,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or270-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,Christina ,5.0,St Patrick’s Day,I decided to pay a little extra for St Patrick’s Day in Chicago and I wanted an amazing hotel experience to go with it. This hotel did not disappoint. I had the best service and the best views!!!  Amazing!!!  Thank you!,,,,,,,March 2021,Traveled solo,6,2.0
274,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or270-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,Antonio E ,5.0,Proposal,"I proposed to my girlfriend on the rooftop of the London House, Saturday March 13th, 2021 and it was nothing short of perfect! I have Manny to thank for everything. He was professional and prepared for every situation. I called him 1 hour before the planned proposal time with a hiccup in the plan and he calmly fixed it. After I proposed the ring was slightly too big and he even had a ring spacer ready for us. The location was beautiful, but Manny was the star of the show. Couldn’t recommend the London House and Manny more. We’ll be returning to the London House for our wedding!",,,,,,,March 2021,Traveled as a couple,4,2.0
275,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or275-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,Laura A ,5.0,St. Patrick’s Trip,"Excellent location for everything In downtown Chicago. Three blocks from Lake station train. Many restaurants nearby and a CVS. Beautiful views from the rooms and roof top bar. Very clean during COVID, service was wonderful, all staff were friendly and prompt. Enjoyed experiencing seeing the river green! Definitely will return for all my upcoming trips to Chicago.",,,,,,,March 2021,Traveled with family,9,3.0
276,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or275-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,Anita ,5.0,Great way to celebrate engagement,"The weekend before our stay at Londonhouse, my fiancé and I had just gotten engaged. He planned a trip to Chicago for us because it was my hometown and we were going to do some engagement celebrations with our friends. Because our flight was going to come in a little later, I called Londonhouse to inform them of our later check in time and to ask if there was anyway we could have a ""river"" view. Being that this was my fiance's first time in Chicago, I really wanted to give him great views. Paloma not only upgraded us to a room with a view, but she welcomed us into the vista king suite and left us a handwritten card congratulating our engagement. Next to the card was a bottle of champagne to kick off our weekend celebration. Londonhouse truly made us feel special and we loved our 4 night stay with them. This was one of the few hotels we've stayed at since the pandemic and Londonhouse truly socially distanced their customers/staff and we felt very safe and comfortable the entire stay. 10/10 will come back and recommend to our friends and family that visit the city.",5.0,,5.0,,5.0,,March 2021,,1,1.0
277,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or275-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,Utsav Mehra ,5.0,My best 5 nights in Chicago,"London house is situated along the riverwalk in a historical Chicago building which under the management of Hilton's curio brand has proven itself to be a beautiful place to stay. In the Vista Suite, I find myself sleeping like a baby in the softest bed, enjoying the black marble aesthetic and two 55 inch TVs for both the bedroom and the suite lounge. Everything is clean, well managed and timely. I have read many reviewers complain like children about the majestic view, but I for one enjoy the view of beautiful Trump tower along with the scene of the serene Chicago river. I found myself admiring the views for longer than I would care to admit. However, the crown goes to the staff, with Ken, Grace, Bess and Saif helping me out. Major shout out to the security team as well who came in promptly to help me in to my room when I forgot my keys.",,5.0,5.0,,,5.0,March 2021,Traveled on business,22,16.0
278,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or275-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,Gurtej D ,5.0,Engagement Proposal,"I contacted the Londonhouse to enquire about their Cupola availability for an engagement proposal. From the moment I spoke to Manny, I felt assured that the whole process would be easy and without error.Manny connected me with a photographer who did an excellent job setting the tone for the proposal and pictures. I highly recommend this place for anyone who is interested in finding an amazing place to propose to their partner.",,,5.0,,,,March 2021,,1,
279,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or275-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,worldtraveler ,5.0,A true sanctuary!,"The Londonhouse, oh my! Within a realm of endless possibilities in a world class city such as Chicago, choices abound. But where can you find the feeling of uniqueness, ultra modern conveniences with unique architectural touches and the feeling of elegance of a great era that has passed...Oh The Londonhouse! Not to big, not too small, elegant yet not overwhelming, and the staff...5star!. From Paloma greeting us prior to check-in, the simple text a day later to ensure all was as it should be, to Ken ensuring our expectations where all met and our stay extraordinary prior to departure. One word...excellent! We stayed in a river view suite and the view truly amazing. The roof top bar though limited in seating still made you feel welcome and the staff more so as they engaged truly interested in you. You share stories and have a human connection that surpasses warmth and caring. The building... majestic, the room...perfect in scope and appointments, the people...extraordinary. All this leading to an experience which for lack of better terms was magnificent and understated. This is what a grand property is! So glad we chose The Londonhouse. My new home in Chicago. Can't wait to return.",,,,,,,February 2021,Traveled as a couple,4,2.0
280,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or280-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,Harrison F ,5.0,Perfect Spot For Marriage Proposal,My girlfriend and I recently got engaged at Londonhouse. Manny and the team there were incredibly helpful throughout the entire process from planning to the day of the event. The rooftop has gorgeous views of the city and we couldn't have picked a more perfect spot.,,,,,,,February 2021,Traveled as a couple,2,
281,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or280-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,Violet V ,5.0,I would give this hotel experience a 10 star rating if I could!,"London house Chicago is not only beautiful but the experience was everything I wanted and more. My check in date was Valentine’s Day and despite the rush and the hotel being very busy, Paloma at the front desk took care of me with such professionalism. She was not flustered under pressure and maintaining the optimum customer service with seamless and thorough checkin process in minutes. She was friendly and made sure my request of “a room with a spectacular view” was met. Once in the room I was so happy with the quality of sanitation and cleanliness I encountered. Not only that but the room was gorgeous. I would definitely recommend this hotel to visitors, tourists and even locals. Thanks again Paloma for making my evening feel like the ultimate staycation!!",,,,,,,February 2021,Traveled with friends,1,1.0
282,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or280-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,BD ,5.0,Great staycation!,"The room was excellent, the location was wonderful and the bed may have been the comfiest I've slept in in a long while! The hotel was beautiful and the staff was extremely helpful and friendly, while still adhering to all proper COVID safety measures. I'd love to come back, especially once everything is able to be fully opened in the hotel and Chicago.",,5.0,5.0,,,5.0,February 2021,,1,
283,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or280-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,Monica O’mealia ,5.0,A Dream Proposal,"While visiting chicago I was shocked with a proposal of a lifetime. my fiancé worked with Manny to coordinate the entire thing. he was INCREDIBLE. so professional and made the whole entire process smooth and flawless. he was so charismatic and helpful, that he was such a huge part of our memorable day and we will never forget him. thank Manny for you outstanding work and beautiful attention to detail -Steven and monica",,,,,,,February 2021,Traveled as a couple,4,
284,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or280-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,Tammy ,5.0,Valentines day weekend 2021,This is an absolutely beautiful Hotel. I had an issue and it was resolved quickly. I also love the fact that the hotel was very clean. The Lobby area is gorgeous. The hotel process was quick to check in.,,,5.0,4.0,,,February 2021,,9,
285,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or285-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,Charlie H ,5.0,Cupola Proposal ,London House and the cupola was the absolute perfect setting for my proposal! Between the incredible views and the excellent service by Manny it created a moment that my fiancé and I will never forget. I strongly encourage reaching out if you intend to pop the question as it is an experience that cannot be matched.,,,,,,,January 2021,Traveled as a couple,1,
286,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or285-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,Theresa ,5.0,Celebrating My Birthday,"Great hotel in walking distance all the shopping,restaurants and the beautiful magnificent mile which I loved looking out my hotel window at.  Front desk and staff were very cordiaI and accommodating loved my stay will be back if pandemic allow me to go back",,,,,,,August 2020,Traveled as a couple,10,
287,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or285-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,Ryan O ,5.0,Rooftop proposal,"Manny at London House was incredible with helping to plan a surprise proposal on the LH rooftop. He walked me through the whole process to make sure it went off flawlessly. He suggested a great photographer to capture the moment. The organization was great, the Cuppola was beautiful, and the view was stunning. I cannot recommend working with them enough! Thank you!!",,,,,,,January 2021,Traveled as a couple,1,
288,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or285-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,Taylor Morrisette ,5.0,Surprise Proposal on the LondonHouse Cupola,"Everything was absolutely perfect for my surprise proposal on the LondonHouse Cupola!  First and foremost, Manny was absolutely fantastic - he has this process down and there was not one hiccup!  The setting is absolutely beautiful.  Also, I cannot recommend Kristina Ryon enough for photos - she was also amazing and the pictures came out stunning.  My now fiancé talks about how special and perfect this moment was on a daily basis, and this was all thanks to Manny, Kristina, and the rest of the LondonHouse crew!  Thank you again!",,,5.0,5.0,5.0,,December 2020,,5,2.0
289,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or285-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,Andrew M ,5.0,Dawnne is the Best,"Dawnne had impeccable service. By far the best employee! Was super attentive, helpful, and sweet! Make her the employee of the month for January!! Overall the London House in Chicago was a great experience. Great service, food, and people makes me want to come back next week.",,,,,,,January 2021,Traveled with friends,1,
290,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or290-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,Sunny R ,5.0,Cupola Engagement Package,Great experience with the engagement package! Manny was always very responsive and accommodating. He made the entire process very easy. Beautiful set up and made the entire experience great and memorable!,,,,,,,January 2021,Traveled as a couple,1,1.0
291,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or290-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,Javedc68 ,5.0,short trip .,London house has the best location at Strip . Hotel is clean and following Co-vid safety guidelines . room was clean .parking is little hassle though . we chose the neighborhood parking lot as it was cheaper than the Valet .over all good experience . will visit again .,,,,,,,December 2020,,53,8.0
292,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or290-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,LaToya J ,5.0,Great Location and Wonderful Follow-Up Service,"This hotel is in a wonderful location (walking distance to Chick-Fil-A, 7-Eleven, Labriola, etc). We did not need to rent a car at all. The view from our room was wonderful.I had a few issues during my stay (i.e., rooftop bar not being open, unable to get a reservation, and a few other things). I expressed my concerns and Pina reached out to me. She expressed this is not typical of their establishment and the hotel made things right with my stay. I am very satisfied with the service I have received and will stay here again on my next visit and recommend that other reviewers do the same.",,,,,,,January 2021,,103,77.0
293,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or290-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,Hezi M ,5.0,"Great service, best location ","Had a night over with family in town. We know the hotel location is the best so locked on it. The front office director, Ms. Paloma Piña, treated us very well with connecting, upgraded room that had stunning views over the river. Despite covid Restrictions we had a great time and recognition of HH loyalty. Thank you !",,,,,,,December 2020,Traveled with family,72,27.0
294,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or290-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,Kevin T ,5.0,Fantastic location for a proposal,"I proposed to my fiancee here on New Year's Eve and everything about LondonHouse made it a perfect experience. The view in the cupola is breathtaking and a great place to take photos, and our event coordinator, Manny, made sure every detail was just right. We have a lifelong memory to take away from our afternoon here and we will definitely be back for a drink on the rooftop in the future to relive it.",5.0,,5.0,,,,December 2020,,1,
295,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or295-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,Deb ,5.0,Lovely mix of Old and New ,"The LondonHouse is just lovely.  The exterior, entrance and lobby speak of amazing architecture from times past. But the rooms are modern and classy with great amenities and amazing views.  We are Hilton Diamond members so we got a room upgrade with a view of the river for us and for our daughters room,  who was visiting from California.   The front desk staff, bell staff, could not be more friendly or accommodating.  The LondonHouse took all precautions to make us feel safe.   We also made reservations for a drink on the rooftop bar.....  the Christmas decorations were just the best.    Pictures just don’t do it justice.  We had previously stayed at this hotel the summer of 2019 and had the same amazing time.   We will make this our annual Christmas destination with family.",,,,,,,December 2020,Traveled with family,3,
296,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or295-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,Luis M ,5.0,Staycation,"Upon entering the establishment you get a warm welcoming from the valet staff. As you proceed to the elevator or stairs to take you to the lobby you pass thru many sanitizing stations which made me feel comfortable, you make that left to the elevators and see an array of BEAUTIFULLY decorated trees. The front desk is amazing, not even letting me get to the front desk before acknowledging one. Very present and content as well as confident. I may be a very bit needy so I did request a couple more pillows and towels for my room, not even 10 minutes for the staff to bring the items up. I am a traveler and frequent different hotels on every staycation and travel. I must say this staff has urgency, hospitality, customer service served with a smile, & pride in what they do. This day in age it’s hard to find staff with one or any of these qualities. For everyone to be on the same page with one another shows how their training and management cares foe them.  A huge thank you to Kevin, Grace, Bess I believe it is I apologize if I screwed that up she is the overnight manager. The team of managers and staff speaks volume to what a Hilton only represents, I was a lucky one to have encountered such wonderful oras. Thank you to everyone at the LondonHouse. It’s been a pleasure to stay and trust me when I say I will be coming back. You guys have the spot to where I will be spending every staycation at now. Sending much love to you & your families. - Happy Holidays  Sincerely,                  Luis M.",,,,,,,December 2020,Traveled solo,2,
297,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or295-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,David G ,5.0,Christmas Rooftop Drinks,Visited over the weekend and loved the service from Stephanie! Made us feel like we were regulars and super friendly! Definitely request Stephanie as your server if you are looking for a great experience!,,,,,,,December 2020,Traveled as a couple,2,
298,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or295-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,Ray ,5.0,Holiday Lights,"Central location for touring Magnificent Mile, Riverwalk, Millenium Park and State St.  See the Christmas lights, Art on the Mart, Christmas tree, and Marshall Fields (Macy's).Amazing views of river and Wrigley building / Tribune Tower from rooftop restaurant/bar.Breakfast at Corner Cafe on 1st floor.",,,5.0,5.0,5.0,,December 2020,,1,
299,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or295-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,Justin M ,5.0,Cupola Engagement,"A HUGE thank you to the LondonHouse team and especially Manny for helping me execute the most perfect surprise proposal in the Cupola area of the rooftop. Manny was extremely efficient and helpful with recommendations for photographers and options for the setup that made this day even more special for my fiance and I. We had some last minute updates and changes that Manny handled and made sure things went smoothly. The views from the Cupola and rooftop are unmatched and we truly created memories that will last a lifetime. I highly recommend choosing the LondonHouse and their Cupola area for any special events, we can't wait to go back!",,,5.0,5.0,5.0,,December 2020,,1,
300,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or300-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,Jonathan C ,5.0,Amazing proposal at the Cupola,"I want to start off by saying thank you to Manny for making my proposal at the London House Cupola such a special moment. From the minute I sent my interest email, Manny was very quick to response and very helpful. The day of the proposal when I finally met Manny, I was greeted by him and his friendly staff. Manny even took the time to record my proposal so I can send it our families. The proposal was awesome and the views from Cupola were breathtaking. Once again thank you for everything!!",,,,,,,December 2020,Traveled with family,1,
301,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or300-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,Lord A ,5.0,Cupola Proposal,I had my proposal here and it was an awesome experience. Manny helped with ironing out the details and the preparation. His attention to details was impressive. Thank you for helping pull the surprise off.,4.0,,5.0,,5.0,,November 2020,,2,
302,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or300-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,mpodonn ,5.0,Magical engagement!,"The word Magical best represents the entire event of the Londonhouse venue & team setting the stage to help me get engaged!  Manny is the quarterback of events & planning and he exceeded all expectations!  Every detail was accounted for and the entire night was an elevated retreat from the everyday, wow!  Thank you Manny, Adam & team!",,,,,,,September 2020,Traveled as a couple,2,
303,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or300-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,Mike H ,5.0,Cupola Proposal Package at the LondonHouse,"Manny was excellent in pulling off my proposal to my now fiancé on their beautiful Cupola. He was very organized, did a great job coordinating and keeping everything a surprise when we arrived. Would highly recommend Manny!",,,,,,,November 2020,,1,1.0
304,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or300-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,Salman J ,5.0,Cupola Proposal,"The arrangements made by Manny was amazing and very smooth. I was so unfamiliar with Chicago as i was visiting for the first time and wanted to propose my Girlfriend, i got in touch with Manny and he made it possible with such an ease. He called me and drafted the whole plan with minute to minute detail. Thank you so much for making this possible for me.",,,,,,,November 2020,Traveled as a couple,2,
305,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or305-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,C C ,5.0,Rudolph Rooftop,I’m obsessed! Our experience was so much fun and our bar tender / waitress Stephanie was so accommodating. She took the best care of us and we can’t say enough about her. Rooftop decor was so cute. Come here for your holiday celebration and ask for Stephanie and you won’t regret it!,,,,,,,November 2020,Traveled on business,1,
306,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or305-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,Sean T ,5.0,All around amazing destination,"Have never stayed at this property before, but was intrigued by its central location in downtown Chicago.  And easy access from the airports.  Given the recent reports of shutting businesses down, however, the expectations for the visit were somewhat lesser.  What we found of course was quite the opposite.  From the moment we arrived, interaction after interaction, experience after experience, our visit was the tops.  The rooms, the views, the rooftop, room service, the front desk.  All 10's.  As for COVID, while it was obvious they were taking appropriate precautions, we never felt impeded.  Just common sense. The elevator calling system, while it took a trip or two to figure out, is what every hotel needs.  No jumping in the first door that opens and crowding in with 20 other riders.  It's an ingenious feat in managing the flow of people up and down the elevators.I'll be back!",,5.0,5.0,5.0,,,November 2020,Traveled on business,1,
307,"LondonHouse Chicago, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g35805-d9145578-Reviews-or305-LondonHouse_Chicago_Curio_Collection_by_Hilton-Chicago_Illinois.html,Michelle ,5.0,Sensational Service!,"Stephanie (“Doctor Stephanie” as we call her), was attentive, kind, loving, and bright. She brought light, love, and happiness to my team and me. Stephanie and the staff were professional and happy to help, and we’re most grateful. We had a world-class dining-experience (even amidst a pandemic), and the food was divine! I can unequivocally recommend the London House, Stephanie, and the entire Staff - They epitomize true excellence!!",5.0,,5.0,,,,November 2020,Traveled on business,1,
